booking_id,farmer_id,tractor_id,region,status,crop_operation,amount,requested_at
BKG-00001,FAR-001,TR-001,Machakos,completed,Planting,12300,2026-01-02T00:00:00
BKG-00002,FAR-002,TR-002,Nakuru,completed,Weeding,12600,2026-01-03T00:00:00
BKG-00003,FAR-003,TR-003,Nairobi,completed,Harvesting,12900,2026-01-04T00:00:00
BKG-00004,FAR-004,TR-004,Embu,completed,Soil management,13200,2026-01-05T00:00:00
BKG-00005,FAR-005,TR-005,Kiambu,pending,Land preparation,13500,2026-01-06T00:00:00
BKG-00006,FAR-006,TR-006,Machakos,completed,Planting,13800,2026-01-07T00:00:00
BKG-00007,FAR-007,TR-007,Nakuru,completed,Weeding,14100,2026-01-08T00:00:00
BKG-00008,FAR-008,TR-008,Nairobi,completed,Harvesting,14400,2026-01-09T00:00:00
BKG-00009,FAR-009,TR-009,Embu,completed,Soil management,14700,2026-01-10T00:00:00
BKG-00010,FAR-010,TR-010,Kiambu,pending,Land preparation,15000,2026-01-11T00:00:00
BKG-00011,FAR-011,TR-011,Machakos,completed,Planting,15300,2026-01-12T00:00:00
BKG-00012,FAR-012,TR-012,Nakuru,completed,Weeding,15600,2026-01-13T00:00:00
BKG-00013,FAR-013,TR-013,Nairobi,completed,Harvesting,15900,2026-01-14T00:00:00
BKG-00014,FAR-014,TR-014,Embu,completed,Soil management,16200,2026-01-15T00:00:00
BKG-00015,FAR-015,TR-015,Kiambu,pending,Land preparation,16500,2026-01-16T00:00:00
BKG-00016,FAR-016,TR-016,Machakos,completed,Planting,16800,2026-01-17T00:00:00
BKG-00017,FAR-017,TR-017,Nakuru,completed,Weeding,17100,2026-01-18T00:00:00
BKG-00018,FAR-018,TR-018,Nairobi,completed,Harvesting,17400,2026-01-19T00:00:00
BKG-00019,FAR-019,TR-019,Embu,completed,Soil management,17700,2026-01-20T00:00:00
BKG-00020,FAR-020,TR-020,Kiambu,pending,Land preparation,18000,2026-01-21T00:00:00
BKG-00021,FAR-021,TR-021,Machakos,completed,Planting,18300,2026-01-22T00:00:00
BKG-00022,FAR-022,TR-022,Nakuru,completed,Weeding,18600,2026-01-23T00:00:00
BKG-00023,FAR-023,TR-023,Nairobi,completed,Harvesting,18900,2026-01-24T00:00:00
BKG-00024,FAR-024,TR-024,Embu,completed,Soil management,19200,2026-01-25T00:00:00
