farm_id,farmer_id,region,area_ha,lat,lon
FRM-0001,FAR-001,Kiambu,13.7,-1.12,36.36
FRM-0002,FAR-002,Machakos,15.4,-1.04,36.42
FRM-0003,FAR-003,Nakuru,17.1,-0.96,36.48
FRM-0004,FAR-004,Nairobi,18.8,-0.88,36.54
FRM-0005,FAR-005,Embu,20.5,-0.8,36.6
FRM-0006,FAR-006,Kiambu,22.2,-0.72,36.66
FRM-0007,FAR-007,Machakos,23.9,-0.64,36.72
FRM-0008,FAR-008,Nakuru,25.6,-0.56,36.78
FRM-0009,FAR-009,Nairobi,27.3,-0.48,36.84
FRM-0010,FAR-010,Embu,29.0,-0.4,36.9
FRM-0011,FAR-011,Kiambu,30.7,-0.32,36.96
FRM-0012,FAR-012,Machakos,32.4,-0.24,37.02
FRM-0013,FAR-013,Nakuru,34.1,-0.16,37.08
FRM-0014,FAR-014,Nairobi,35.8,-0.08,37.14
FRM-0015,FAR-015,Embu,37.5,0.0,37.2
FRM-0016,FAR-016,Kiambu,39.2,0.08,37.26
FRM-0017,FAR-017,Machakos,40.9,0.16,37.32
FRM-0018,FAR-018,Nakuru,42.6,0.24,37.38
FRM-0019,FAR-019,Nairobi,44.3,0.32,37.44
FRM-0020,FAR-020,Embu,46.0,0.4,37.5
FRM-0021,FAR-021,Kiambu,12.7,0.48,37.56
FRM-0022,FAR-022,Machakos,14.4,0.56,37.62
FRM-0023,FAR-023,Nakuru,16.1,0.64,37.68
FRM-0024,FAR-024,Nairobi,17.8,0.72,37.74
FRM-0025,FAR-025,Embu,19.5,0.8,37.8
FRM-0026,FAR-026,Kiambu,21.2,0.88,37.86
FRM-0027,FAR-027,Machakos,22.9,0.96,37.92
FRM-0028,FAR-028,Nakuru,24.6,1.04,37.98
FRM-0029,FAR-029,Nairobi,26.3,1.12,38.04
FRM-0030,FAR-030,Embu,28.0,1.2,38.1
FRM-0031,FAR-031,Kiambu,29.7,1.28,38.16
FRM-0032,FAR-032,Machakos,31.4,1.36,38.22
FRM-0033,FAR-033,Nakuru,33.1,1.44,38.28
FRM-0034,FAR-034,Nairobi,34.8,1.52,38.34
FRM-0035,FAR-035,Embu,36.5,1.6,38.4
FRM-0036,FAR-036,Kiambu,38.2,1.68,38.46
FRM-0037,FAR-037,Machakos,39.9,1.76,38.52
FRM-0038,FAR-038,Nakuru,41.6,1.84,38.58
FRM-0039,FAR-039,Nairobi,43.3,1.92,38.64
FRM-0040,FAR-040,Embu,45.0,2.0,36.3
FRM-0041,FAR-041,Kiambu,46.7,2.08,36.36
FRM-0042,FAR-042,Machakos,13.4,2.16,36.42
FRM-0043,FAR-043,Nakuru,15.1,2.24,36.48
FRM-0044,FAR-044,Nairobi,16.8,2.32,36.54
FRM-0045,FAR-045,Embu,18.5,2.4,36.6
FRM-0046,FAR-046,Kiambu,20.2,2.48,36.66
FRM-0047,FAR-047,Machakos,21.9,2.56,36.72
FRM-0048,FAR-048,Nakuru,23.6,2.64,36.78
FRM-0049,FAR-049,Nairobi,25.3,2.72,36.84
FRM-0050,FAR-050,Embu,27.0,-1.2,36.9
FRM-0051,FAR-051,Kiambu,28.7,-1.12,36.96
FRM-0052,FAR-052,Machakos,30.4,-1.04,37.02
FRM-0053,FAR-053,Nakuru,32.1,-0.96,37.08
FRM-0054,FAR-054,Nairobi,33.8,-0.88,37.14
FRM-0055,FAR-055,Embu,35.5,-0.8,37.2
FRM-0056,FAR-056,Kiambu,37.2,-0.72,37.26
