tractor_id,owner_id,status,region,capacity_ha_hr,operating_hours
TR-001,OWN-002,active,Machakos,2.3,162
TR-002,OWN-003,active,Nakuru,2.6,174
TR-003,OWN-004,active,Nairobi,2.9,186
TR-004,OWN-005,active,Embu,3.2,198
TR-005,OWN-006,idle,Kiambu,3.5,210
TR-006,OWN-007,active,Machakos,3.8,222
TR-007,OWN-008,active,Nakuru,4.1,234
TR-008,OWN-009,active,Nairobi,2.0,246
TR-009,OWN-010,active,Embu,2.3,258
TR-010,OWN-011,idle,Kiambu,2.6,270
TR-011,OWN-012,active,Machakos,2.9,282
TR-012,OWN-013,active,Nakuru,3.2,294
TR-013,OWN-014,active,Nairobi,3.5,306
TR-014,OWN-015,active,Embu,3.8,318
TR-015,OWN-016,idle,Kiambu,4.1,150
TR-016,OWN-017,active,Machakos,2.0,162
TR-017,OWN-018,active,Nakuru,2.3,174
TR-018,OWN-019,active,Nairobi,2.6,186
TR-019,OWN-020,active,Embu,2.9,198
TR-020,OWN-001,idle,Kiambu,3.2,210
TR-021,OWN-002,active,Machakos,3.5,222
TR-022,OWN-003,active,Nakuru,3.8,234
TR-023,OWN-004,active,Nairobi,4.1,246
TR-024,OWN-005,active,Embu,2.0,258
TR-025,OWN-006,idle,Kiambu,2.3,270
TR-026,OWN-007,active,Machakos,2.6,282
TR-027,OWN-008,active,Nakuru,2.9,294
TR-028,OWN-009,active,Nairobi,3.2,306
TR-029,OWN-010,active,Embu,3.5,318
TR-030,OWN-011,idle,Kiambu,3.8,150
TR-031,OWN-012,active,Machakos,4.1,162
TR-032,OWN-013,active,Nakuru,2.0,174
TR-033,OWN-014,active,Nairobi,2.3,186
TR-034,OWN-015,active,Embu,2.6,198
TR-035,OWN-016,idle,Kiambu,2.9,210
TR-036,OWN-017,active,Machakos,3.2,222
TR-037,OWN-018,active,Nakuru,3.5,234
TR-038,OWN-019,active,Nairobi,3.8,246
TR-039,OWN-020,active,Embu,4.1,258
TR-040,OWN-001,idle,Kiambu,2.0,270
TR-041,OWN-002,active,Machakos,2.3,282
TR-042,OWN-003,active,Nakuru,2.6,294
TR-043,OWN-004,active,Nairobi,2.9,306
TR-044,OWN-005,active,Embu,3.2,318
TR-045,OWN-006,idle,Kiambu,3.5,150
TR-046,OWN-007,active,Machakos,3.8,162
TR-047,OWN-008,active,Nakuru,4.1,174
TR-048,OWN-009,active,Nairobi,2.0,186
TR-049,OWN-010,active,Embu,2.3,198
TR-050,OWN-011,idle,Kiambu,2.6,210
TR-051,OWN-012,active,Machakos,2.9,222
TR-052,OWN-013,active,Nakuru,3.2,234
TR-053,OWN-014,active,Nairobi,3.5,246
TR-054,OWN-015,active,Embu,3.8,258
TR-055,OWN-016,idle,Kiambu,4.1,270
TR-056,OWN-017,active,Machakos,2.0,282
TR-057,OWN-018,active,Nakuru,2.3,294
TR-058,OWN-019,active,Nairobi,2.6,306
TR-059,OWN-020,active,Embu,2.9,318
TR-060,OWN-001,idle,Kiambu,3.2,150
TR-061,OWN-002,active,Machakos,3.5,162
TR-062,OWN-003,active,Nakuru,3.8,174
TR-063,OWN-004,active,Nairobi,4.1,186
TR-064,OWN-005,active,Embu,2.0,198
TR-065,OWN-006,idle,Kiambu,2.3,210
TR-066,OWN-007,active,Machakos,2.6,222
TR-067,OWN-008,active,Nakuru,2.9,234
TR-068,OWN-009,active,Nairobi,3.2,246
TR-069,OWN-010,active,Embu,3.5,258
TR-070,OWN-011,idle,Kiambu,3.8,270
TR-071,OWN-012,active,Machakos,4.1,282
TR-072,OWN-013,active,Nakuru,2.0,294
TR-073,OWN-014,active,Nairobi,2.3,306
TR-074,OWN-015,active,Embu,2.6,318
TR-075,OWN-016,idle,Kiambu,2.9,150
TR-076,OWN-017,active,Machakos,3.2,162
TR-077,OWN-018,active,Nakuru,3.5,174
TR-078,OWN-019,active,Nairobi,3.8,186
TR-079,OWN-020,active,Embu,4.1,198
TR-080,OWN-001,idle,Kiambu,2.0,210
TR-081,OWN-002,active,Machakos,2.3,222
TR-082,OWN-003,active,Nakuru,2.6,234
TR-083,OWN-004,active,Nairobi,2.9,246
TR-084,OWN-005,active,Embu,3.2,258
TR-085,OWN-006,idle,Kiambu,3.5,270
TR-086,OWN-007,active,Machakos,3.8,282
TR-087,OWN-008,active,Nakuru,4.1,294
TR-088,OWN-009,active,Nairobi,2.0,306
TR-089,OWN-010,active,Embu,2.3,318
TR-090,OWN-011,idle,Kiambu,2.6,150
TR-091,OWN-012,active,Machakos,2.9,162
TR-092,OWN-013,active,Nakuru,3.2,174
TR-093,OWN-014,active,Nairobi,3.5,186
TR-094,OWN-015,active,Embu,3.8,198
TR-095,OWN-016,idle,Kiambu,4.1,210
TR-096,OWN-017,active,Machakos,2.0,222
TR-097,OWN-018,active,Nakuru,2.3,234
TR-098,OWN-019,active,Nairobi,2.6,246
TR-099,OWN-020,active,Embu,2.9,258
TR-100,OWN-001,idle,Kiambu,3.2,270
